time,id,plot,rep,depth,bag weight (g),wet weight (g),dry weight (g),root weight (g),comments
2016 Fall,1,12,A,0-20,1079.51,6.33,6.38,0.4786,
2016 Fall,2,12,A,20-40,1242.6,5.25,,0.1348,
2016 Fall,3,12,A,40-60,1179,5.4,5.61,0.1241,
2016 Fall,4,12,A,60-80,1286.9,6.84,7.02,0.0232,
2016 Fall,5,12,A,80-100,1047.2,5.05,,0.0025,
2016 Fall,6,12,B,0-20,1057.14,5.94,6.02,0.4734,
2016 Fall,7,12,B,20-40,1256.54,5.47,4.81,0.1039,
2016 Fall,8,12,B,40-60,1195.15,6.15,,0.0516,
2016 Fall,9,12,B,60-80,941.43,6.86,6.94,0.033,
2016 Fall,10,12,B,80-100,1507.22,6.6,6.76,0.0149,
2016 Fall,11,13,A,0-20,1079.93,5.9,,3.3175,
2016 Fall,12,13,A,20-40,1158.9,6.95,,0.3022,
2016 Fall,13,13,A,40-60,1156.73,6.96,6.94,0.2322,
2016 Fall,14,13,A,60-80,1401.06,6.36,6.54,0.0506,
2016 Fall,15,13,A,80-100,998.8,5.4,,0.0113,
2016 Fall,16,13,B,0-20,977.75,6.95,,5.2947,
2016 Fall,17,13,B,20-40,1230.95,6.7,,0.3252,
2016 Fall,18,13,B,40-60,1133.65,6.65,,0.2896,
2016 Fall,19,13,B,60-80,1274.93,5.6,,0.2686,
2016 Fall,20,13,B,80-100,1361.45,5.8,,0.2047,
2016 Fall,21,15,A,0-20,889.7,6.88,6.57,4.4141,
2016 Fall,22,15,A,20-40,1143.28,5.82,5.82,0.5525,
2016 Fall,23,15,A,40-60,1067.95,5.45,,0.2444,
2016 Fall,24,15,A,60-80,1191.6,5.31,5.56,0.3042,
2016 Fall,25,15,A,80-100,1375.1,6.8,,0.266,
2016 Fall,26,15,B,0-20,892.3,5.2,,0.5413,
2016 Fall,27,15,B,20-40,1185.15,5.85,,0.4028,
2016 Fall,28,15,B,40-60,1115.85,6.75,,0.232,
2016 Fall,29,15,B,60-80,1185.5,6.15,,0.2303,
2016 Fall,30,15,B,80-100,1326.6,6.1,,0.217,
2016 Fall,31,21,A,0-20,1097.61,6.39,7.21,0.2286,
2016 Fall,32,21,A,20-40,1041.79,5.99,6.03,0.1059,
2016 Fall,33,21,A,40-60,1185.3,5.99,6.08,0.0964,
2016 Fall,34,21,A,60-80,1141.97,5.5,5.71,0.0498,
2016 Fall,35,21,A,80-100,1518.86,6.33,6.36,0.018,
2016 Fall,36,21,B,0-20,1089.9,6.95,6.98,0.5593,
2016 Fall,37,21,B,20-40,1079.7,6.23,6.09,0.1916,
2016 Fall,38,21,B,40-60,1090.65,6.42,6.4,0.1219,
2016 Fall,39,21,B,60-80,1152.84,6.56,6.52,0.1303,
2016 Fall,40,21,B,80-100,1371.99,6.88,6.69,0.0742,
2016 Fall,41,23,A,0-20,1123.66,5.99,6.17,5.1161,
2016 Fall,42,23,A,20-40,1088.9,5.4,,0.3839,
2016 Fall,43,23,A,40-60,1230.2,6.13,6.12,0.2912,
2016 Fall,44,23,A,60-80,991,5.42,5.7,0.197,
2016 Fall,45,23,A,80-100,1422.2,6.35,,0.1219,
2016 Fall,46,23,B,0-20,1073.61,6.82,6.53,1.0255,
2016 Fall,47,23,B,20-40,1120.74,5.78,5.71,0.3642,
2016 Fall,48,23,B,40-60,1139.47,5.59,5.64,0.2918,
2016 Fall,49,23,B,60-80,1140.66,6.31,,0.2126,
2016 Fall,50,23,B,80-100,951.25,6.6,,0.0542,
2016 Fall,51,24,A,0-20,1086.4,5.55,5.42,1.6528,
2016 Fall,52,24,A,20-40,1155.33,5.27,5.4,0.5019,
2016 Fall,53,24,A,40-60,1180.5,5.61,6.03,0.2956,
2016 Fall,54,24,A,60-80,1211.64,7.1,6.95,0.2128,
2016 Fall,55,24,A,80-100,1247.02,7.61,7.3,0.137,
2016 Fall,56,24,B,0-20,1098.48,6.81,6.4,3.5756,
2016 Fall,57,24,B,20-40,1179.87,6.14,5.95,0.4259,
2016 Fall,58,24,B,40-60,1167.57,5.95,5.93,0.321,
2016 Fall,59,24,B,60-80,1112.4,6.5,,0.2114,
2016 Fall,60,24,B,80-100,1000.34,6.95,7.02,0.0632,
2016 Fall,61,31,A,0-20,1077.45,6.6,,5.9552,
2016 Fall,62,31,A,20-40,1096.77,6.14,6.11,0.3716,
2016 Fall,63,31,A,40-60,1200.28,,6.46,0.1964,
2016 Fall,64,31,A,60-80,1164.9,6.77,6.57,0.2564,
2016 Fall,65,31,A,80-100,799.05,6.5,,0.171,
2016 Fall,66,31,B,0-20,1008.91,5.88,5.72,2.4015,
2016 Fall,67,31,B,20-40,1118.54,7.08,6.67,0.6417,
2016 Fall,68,31,B,40-60,1138.25,5.05,,0.3574,
2016 Fall,69,31,B,60-80,1261.7,6.55,,0.211,
2016 Fall,70,31,B,80-100,1286.59,5.38,5.56,0.1205,
2016 Fall,71,32,A,0-20,1034.95,7.1,6.83,0.5199,
2016 Fall,72,32,A,20-40,1163.26,6.53,6.23,0.1592,
2016 Fall,73,32,A,40-60,1126.36,6.54,6.26,0.1264,
2016 Fall,74,32,A,60-80,1061.32,5.77,5.79,0.0564,
2016 Fall,75,32,A,80-100,1145.95,5.4,5.62,0.0552,
2016 Fall,76,32,B,0-20,961.95,5.95,,0.3186,
2016 Fall,77,32,B,20-40,1172.82,5.35,5.12,0.0899,
2016 Fall,78,32,B,40-60,1089.96,5.71,5.6,0.0729,
2016 Fall,79,32,B,60-80,1141.19,6.36,6.24,0.0526,
2016 Fall,80,32,B,80-100,981.81,5.96,6.06,0.0161,
2016 Fall,81,35,A,0-20,1047.14,6.85,7.02,0.0207,
2016 Fall,82,35,A,20-40,1218.61,5.7,6.57,0.0513,
2016 Fall,83,35,A,40-60,1134.47,6.06,6.24,0.1148,
2016 Fall,84,35,A,60-80,1054.29,5.35,4.84,0.0727,
2016 Fall,85,35,A,80-100,1251.69,6.93,7.02,0.0342,
2016 Fall,86,35,B,0-20,1172.78,6.32,6.47,0.183,
2016 Fall,87,35,B,20-40,985.46,6.62,6.36,0.077,
2016 Fall,88,35,B,40-60,1287.83,6.06,6.2,0.0664,
2016 Fall,89,35,B,60-80,1147.2,5.55,5.86,0.0574,
2016 Fall,90,35,B,80-100,1165.62,6.6,6.72,0.0229,
2016 Fall,91,41,A,0-20,999.01,6.97,6.7,1.0047,
2016 Fall,92,41,A,20-40,1043.05,5.94,6.47,0.4016,
2016 Fall,93,41,A,40-60,1044.54,5.46,5.47,0.1105,
2016 Fall,94,41,A,60-80,1030.05,5.97,5.92,0.1051,
2016 Fall,95,41,A,80-100,1318.24,6.69,6.41,0.0819,
2016 Fall,96,41,B,0-20,1043.13,7.5,7.16,1.7413,
2016 Fall,97,41,B,20-40,1034.15,5.26,5.18,0.3832,
2016 Fall,98,41,B,40-60,1107.13,4.48,4.57,0.2823,
2016 Fall,99,41,B,60-80,1382.8,6.8,,0.2177,
2016 Fall,,41,B,80-100,,,,,Only includes 6 cm
2016 Fall,101,43,A,0-20,1016.4,5.15,,0.1622,
2016 Fall,102,43,A,20-40,1142.5,6.8,,0.1109,
2016 Fall,103,43,A,40-60,1044,5.65,,0.0751,
2016 Fall,104,43,A,60-80,1315.56,6.38,6.39,0.0263,
2016 Fall,105,43,A,80-100,1149.79,6.32,6.49,0.0108,
2016 Fall,106,43,B,0-20,1061.06,5.13,6.11,0.1082,
2016 Fall,107,43,B,20-40,1065.32,6.84,5.82,0.1237,
2016 Fall,108,43,B,40-60,1136.59,6.62,6.55,0.1157,
2016 Fall,109,43,B,60-80,1044.88,6.25,6.27,0.0573,
2016 Fall,110,43,B,80-100,1485.45,6.75,6.87,0.0403,
2016 Fall,111,46,A,0-20,1109.63,7.53,7.5,1.6151,
2016 Fall,112,46,A,20-40,1157.45,6.36,6.48,0.2124,
2016 Fall,113,46,A,40-60,1054.9,6.65,6.77,0.2126,
2016 Fall,114,46,A,60-80,1341.54,6.74,6.83,0.2457,
2016 Fall,115,46,A,80-100,1269.28,6.07,6.1,0.111,
2016 Fall,116,46,B,0-20,1101.9,6.34,,6.6835,
2016 Fall,117,46,B,20-40,1148.54,6.86,,0.3907,
2016 Fall,118,46,B,40-60,1168.59,6.85,,0.2432,
2016 Fall,119,46,B,60-80,1093.56,6.73,8.79,0.1912,
2016 Fall,120,46,B,80-100,1537.16,5.7,5.68,0.3353,
